Rodzaje produktów;Rok;Wartosc
pstrąg świeży niepatroszony - za 1 kg;2010;11,23
pstrąg świeży niepatroszony - za 1 kg;2011;12,31
pstrąg świeży niepatroszony - za 1 kg;2012;12,31
pstrąg świeży niepatroszony - za 1 kg;2013;12,62
pstrąg świeży niepatroszony - za 1 kg;2014;12,82
pstrąg świeży niepatroszony - za 1 kg;2015;13,53
pstrąg świeży niepatroszony - za 1 kg;2016;13,67
filety z morszczuka mrożone - za 1kg;2010;10,80
filety z morszczuka mrożone - za 1kg;2011;12,41
filety z morszczuka mrożone - za 1kg;2012;13,95
filety z morszczuka mrożone - za 1kg;2013;14,13
filety z morszczuka mrożone - za 1kg;2014;14,35
filety z morszczuka mrożone - za 1kg;2015;14,85
filety z morszczuka mrożone - za 1kg;2016;15,34
śledź solony, niepatroszony - za 1kg;2010;6,44
śledź solony, niepatroszony - za 1kg;2011;7,56
śledź solony, niepatroszony - za 1kg;2012;9,20
śledź solony, niepatroszony - za 1kg;2013;9,67
śledź solony, niepatroszony - za 1kg;2014;9,73
śledź solony, niepatroszony - za 1kg;2015;10,01
śledź solony, niepatroszony - za 1kg;2016;10,58
