Miejsca pracy;Rok;Wartosc;Jednostka miary
liczba nowo utworzonych miejsc pracy;2013;502,4;tys. msc.
liczba nowo utworzonych miejsc pracy;2014;614,8;tys. msc.
liczba nowo utworzonych miejsc pracy;2015;595,8;tys. msc.
liczba nowo utworzonych miejsc pracy;2016;618,7;tys. msc.
liczba nowo utworzonych miejsc pracy;2017;694,1;tys. msc.
liczba zlikwidowanych miejsc pracy;2013;347,1;tys. msc.
liczba zlikwidowanych miejsc pracy;2014;319,9;tys. msc.
liczba zlikwidowanych miejsc pracy;2015;317,6;tys. msc.
liczba zlikwidowanych miejsc pracy;2016;284,2;tys. msc.
liczba zlikwidowanych miejsc pracy;2017;264,2;tys. msc.
